"","date","etf","w","cluster"
"222",2019-01-10,"EWU US Equity",0.333333333333333,2
"223",2019-01-17,"EWU US Equity",0.166666666666667,2
"224",2019-01-24,"EWU US Equity",0.166666666666667,2
"225",2019-01-31,"EWU US Equity",0.333333333333333,2
"226",2019-02-07,"EWU US Equity",0.166666666666667,2
"227",2019-02-14,"EWU US Equity",0.166666666666667,2
"228",2019-02-21,"EWU US Equity",0.166666666666667,2
"229",2019-02-28,"EWU US Equity",0.166666666666667,2
"230",2019-03-07,"EWU US Equity",0.166666666666667,2
"231",2019-03-14,"EWU US Equity",0.333333333333333,2
"232",2019-03-21,"EWU US Equity",0.333333333333333,2
"233",2019-03-28,"EWU US Equity",0.166666666666667,2
"234",2019-04-04,"EWU US Equity",0.166666666666667,2
"235",2019-04-11,"EWU US Equity",0.333333333333333,2
"236",2019-04-18,"EWU US Equity",0.333333333333333,2
"237",2019-04-25,"EWU US Equity",0.333333333333333,2
"238",2019-05-02,"EWU US Equity",0.333333333333333,2
"239",2019-05-09,"EWU US Equity",0.333333333333333,2
"240",2019-05-16,"EWU US Equity",0.333333333333333,2
"241",2019-05-23,"EWU US Equity",0.333333333333333,2
"242",2019-05-30,"EWU US Equity",0.333333333333333,2
"243",2019-06-06,"EWU US Equity",0.333333333333333,2
"244",2019-06-13,"EWU US Equity",0.333333333333333,2
"245",2019-06-20,"EWU US Equity",0.333333333333333,2
"246",2019-06-27,"EWU US Equity",0.333333333333333,2
"247",2019-07-11,"EWU US Equity",0.333333333333333,2
"248",2019-07-18,"EWU US Equity",0.333333333333333,2
"249",2019-07-25,"EWU US Equity",0.333333333333333,2
"250",2019-08-01,"EWU US Equity",0.333333333333333,2
"251",2019-08-08,"EWU US Equity",0.333333333333333,2
"252",2019-08-15,"EWU US Equity",0.333333333333333,2
"253",2019-08-22,"EWU US Equity",0.333333333333333,2
"254",2019-08-29,"EWU US Equity",0.333333333333333,2
"255",2019-09-05,"EWU US Equity",0.333333333333333,2
"256",2019-09-12,"EWU US Equity",0.333333333333333,2
"257",2019-09-19,"EWU US Equity",0.333333333333333,2
"258",2019-09-26,"EWU US Equity",0.333333333333333,2
"259",2019-10-03,"EWU US Equity",0.333333333333333,2
"260",2019-10-10,"EWU US Equity",0.333333333333333,2
"261",2019-10-17,"EWU US Equity",0.333333333333333,2
"262",2019-10-24,"EWU US Equity",0.333333333333333,2
"263",2019-10-31,"EWU US Equity",0.333333333333333,2
"264",2019-11-07,"EWU US Equity",0.333333333333333,2
"265",2019-01-03,"XLB US Equity",0.25,3
"266",2019-01-10,"XLB US Equity",0.25,3
"267",2019-01-17,"XLB US Equity",0.25,3
"268",2019-01-24,"XLB US Equity",0.25,3
"269",2019-01-31,"XLB US Equity",0.25,3
"270",2019-02-07,"XLB US Equity",0.25,3
"271",2019-02-14,"XLB US Equity",0.25,3
"272",2019-02-21,"XLB US Equity",0.25,3
"273",2019-02-28,"XLB US Equity",0.25,3
"274",2019-03-07,"XLB US Equity",0.25,3
"275",2019-03-14,"XLB US Equity",0.25,3
"276",2019-03-21,"XLB US Equity",0.25,3
"277",2019-03-28,"XLB US Equity",0.25,3
"278",2019-04-04,"XLB US Equity",0.25,3
"279",2019-04-11,"XLB US Equity",0.25,3
"280",2019-04-18,"XLB US Equity",0.25,3
"281",2019-04-25,"XLB US Equity",0.25,3
"282",2019-05-02,"XLB US Equity",0.25,3
"283",2019-05-09,"XLB US Equity",0.25,3
"284",2019-05-16,"XLB US Equity",0.25,3
"285",2019-05-23,"XLB US Equity",0.25,3
"286",2019-05-30,"XLB US Equity",0.25,3
"287",2019-06-06,"XLB US Equity",0.25,3
"288",2019-06-13,"XLB US Equity",0.25,3
"289",2019-06-20,"XLB US Equity",0.25,3
"290",2019-06-27,"XLB US Equity",0.25,3
"291",2019-07-11,"XLB US Equity",0.25,3
"292",2019-07-18,"XLB US Equity",0.25,3
"293",2019-07-25,"XLB US Equity",0.25,3
"294",2019-08-01,"XLB US Equity",0.25,3
"295",2019-08-08,"XLB US Equity",0.25,3
"296",2019-08-15,"XLB US Equity",0.25,3
"297",2019-08-22,"XLB US Equity",0.25,3
"298",2019-08-29,"XLB US Equity",0.25,3
"299",2019-09-05,"XLB US Equity",0.25,3
"300",2019-09-12,"XLB US Equity",0.25,3
"301",2019-09-19,"XLB US Equity",0.25,3
"302",2019-09-26,"XLB US Equity",0.25,3
"303",2019-10-03,"XLB US Equity",0.25,3
"304",2019-10-10,"XLB US Equity",0.25,3
"305",2019-10-17,"XLB US Equity",0.25,3
"306",2019-10-24,"XLB US Equity",0.25,3
"307",2019-10-31,"XLB US Equity",0.25,3
"308",2019-11-07,"XLB US Equity",0.25,3
"309",2019-01-03,"XLE US Equity",0.25,3
"310",2019-01-10,"XLE US Equity",0.25,3
"311",2019-01-17,"XLE US Equity",0.25,3
"312",2019-01-24,"XLE US Equity",0.25,3
"313",2019-01-31,"XLE US Equity",0.25,3
"314",2019-02-07,"XLE US Equity",0.25,3
"315",2019-02-14,"XLE US Equity",0.25,3
"316",2019-02-21,"XLE US Equity",0.25,3
"317",2019-02-28,"XLE US Equity",0.25,3
"318",2019-03-07,"XLE US Equity",0.25,3
"319",2019-03-14,"XLE US Equity",0.25,3
"320",2019-03-21,"XLE US Equity",0.25,3
"321",2019-03-28,"XLE US Equity",0.25,3
"322",2019-04-04,"XLE US Equity",0.25,3
"323",2019-04-11,"XLE US Equity",0.25,3
"324",2019-04-18,"XLE US Equity",0.25,3
"325",2019-04-25,"XLE US Equity",0.25,3
"326",2019-05-02,"XLE US Equity",0.25,3
"327",2019-05-09,"XLE US Equity",0.25,3
"328",2019-05-16,"XLE US Equity",0.25,3
"329",2019-05-23,"XLE US Equity",0.25,3
"330",2019-05-30,"XLE US Equity",0.25,3
"331",2019-06-06,"XLE US Equity",0.25,3
"332",2019-06-13,"XLE US Equity",0.25,3
"333",2019-06-20,"XLE US Equity",0.25,3
"334",2019-06-27,"XLE US Equity",0.25,3
"335",2019-07-11,"XLE US Equity",0.25,3
"336",2019-07-18,"XLE US Equity",0.25,3
"337",2019-07-25,"XLE US Equity",0.25,3
"338",2019-08-01,"XLE US Equity",0.25,3
"339",2019-08-08,"XLE US Equity",0.25,3
"340",2019-08-15,"XLE US Equity",0.25,3
"341",2019-08-22,"XLE US Equity",0.25,3
"342",2019-08-29,"XLE US Equity",0.25,3
"343",2019-09-05,"XLE US Equity",0.25,3
"344",2019-09-12,"XLE US Equity",0.25,3
"345",2019-09-19,"XLE US Equity",0.25,3
"346",2019-09-26,"XLE US Equity",0.25,3
"347",2019-10-03,"XLE US Equity",0.25,3
"348",2019-10-10,"XLE US Equity",0.25,3
"349",2019-10-17,"XLE US Equity",0.25,3
"350",2019-10-24,"XLE US Equity",0.25,3
"351",2019-10-31,"XLE US Equity",0.25,3
"352",2019-11-07,"XLE US Equity",0.25,3
"353",2019-01-03,"XLF US Equity",0.25,3
"354",2019-01-10,"XLF US Equity",0.25,3
"355",2019-01-17,"XLF US Equity",0.25,3
"356",2019-01-24,"XLF US Equity",0.25,3
"357",2019-01-31,"XLF US Equity",0.25,3
"358",2019-02-07,"XLF US Equity",0.25,3
"359",2019-02-14,"XLF US Equity",0.25,3
"360",2019-02-21,"XLF US Equity",0.25,3
"361",2019-02-28,"XLF US Equity",0.25,3
"362",2019-03-07,"XLF US Equity",0.25,3
"363",2019-03-14,"XLF US Equity",0.25,3
"364",2019-03-21,"XLF US Equity",0.25,3
"365",2019-03-28,"XLF US Equity",0.25,3
"366",2019-04-04,"XLF US Equity",0.25,3
"367",2019-04-11,"XLF US Equity",0.25,3
"368",2019-04-18,"XLF US Equity",0.25,3
"369",2019-04-25,"XLF US Equity",0.25,3
"370",2019-05-02,"XLF US Equity",0.25,3
"371",2019-05-09,"XLF US Equity",0.25,3
"372",2019-05-16,"XLF US Equity",0.25,3
"373",2019-05-23,"XLF US Equity",0.25,3
"374",2019-05-30,"XLF US Equity",0.25,3
"375",2019-06-06,"XLF US Equity",0.25,3
"376",2019-06-13,"XLF US Equity",0.25,3
"377",2019-06-20,"XLF US Equity",0.25,3
"378",2019-06-27,"XLF US Equity",0.25,3
"379",2019-07-11,"XLF US Equity",0.25,3
"380",2019-07-18,"XLF US Equity",0.25,3
